left_elbow_angle,right_elbow_angle,label,source
160.57024,155.14311,pullup_down,108
161.29402,154.77837,pullup_down,108
159.95863,157.3054,pullup_down,108
163.60767,159.08324,pullup_down,108
163.9181,161.45093,pullup_down,108
160.32935,163.46696,pullup_down,108
163.87947,165.08716,pullup_down,108
165.38757,165.80399,pullup_down,108
165.8902,166.03261,pullup_down,108
165.70906,164.7406,pullup_down,108
166.50272,164.64107,pullup_down,108
162.05122,167.21205,pullup_down,108
164.12354,167.56499,pullup_down,108
163.3525,165.27696,pullup_down,108
168.34616,165.05865,pullup_down,108
173.38129,163.33696,pullup_down,108
170.7357,167.52248,pullup_down,108
172.1415,164.47813,pullup_down,108
173.52046,165.40324,pullup_down,108
168.66635,163.78874,pullup_down,108
171.30583,163.80246,pullup_down,108
169.73727,166.53833,pullup_down,108
170.93143,164.87807,pullup_down,108
170.69582,166.34889,pullup_down,108
173.37099,166.61133,pullup_down,108
170.02957,166.46558,pullup_down,108
169.90683,168.21333,pullup_down,108
168.14699,166.43373,pullup_down,108
170.57103,166.50319,pullup_down,108
170.25479,164.1681,pullup_down,108
170.6714,168.46217,pullup_down,108
168.1731,168.46906,pullup_down,108
166.35863,165.33432,pullup_down,108
167.12564,167.8931,pullup_down,108
169.3682,165.2388,pullup_down,108
169.43889,165.40527,pullup_down,108
168.6175,163.63564,pullup_down,108
165.74089,166.61461,pullup_down,108
169.67996,167.55406,pullup_down,108
168.28702,167.09248,pullup_down,108
168.33556,161.97623,pullup_down,108
170.16614,167.00484,pullup_down,108
172.18648,165.03625,pullup_down,108
171.80022,167.16988,pullup_down,108
173.32031,165.83609,pullup_down,108
171.3231,164.88042,pullup_down,108
170.94183,167.63182,pullup_down,108
171.20601,164.02579,pullup_down,108
173.76393,165.66727,pullup_down,108
168.77919,163.98195,pullup_down,108
171.44879,169.04547,pullup_down,108
170.14052,168.47299,pullup_down,108
166.7046,166.49045,pullup_down,108
171.09389,165.57892,pullup_down,108
167.43602,168.66437,pullup_down,108
171.98277,165.81761,pullup_down,108
169.70212,168.88947,pullup_down,108
173.9032,163.84908,pullup_down,108
172.01959,167.69005,pullup_down,108
167.29442,163.57233,pullup_down,108
165.26294,167.97488,pullup_down,108
170.76279,166.7439,pullup_down,108
167.40448,167.7859,pullup_down,108
167.98589,172.44774,pullup_down,108
169.69041,173.54799,pullup_down,108
161.42212,171.10901,pullup_down,108
161.62924,175.99791,pullup_down,108
157.06068,173.64111,pullup_down,108
156.4447,173.9938,pullup_down,108
162.69931,176.49931,pullup_down,108
154.18326,177.1763,pullup_down,108
157.12462,168.63211,pullup_down,108
157.51324,174.21095,pullup_down,108
155.70218,173.73299,pullup_down,108
155.31151,172.18921,pullup_down,108
157.91026,168.6805,pullup_down,108
158.4219,171.18527,pullup_down,108
152.17392,171.85709,pullup_down,108
155.54655,168.39156,pullup_down,108
158.4466,169.70636,pullup_down,108
163.06471,159.07622,pullup_down,108
163.35648,162.93457,pullup_down,108
164.28583,162.4018,pullup_down,108
162.24654,160.50833,pullup_down,108
165.11864,165.29045,pullup_down,108
156.93378,165.68271,pullup_down,108
164.68492,157.3256,pullup_down,108
164.72476,162.82657,pullup_down,108
162.70045,163.2831,pullup_down,108
161.09805,162.65016,pullup_down,108
162.82806,166.04126,pullup_down,108
162.69817,162.12355,pullup_down,108
159.23337,164.30554,pullup_down,108
166.4784,171.10443,pullup_down,108
162.07129,168.55063,pullup_down,108
162.9291,166.55772,pullup_down,108
160.59732,167.84464,pullup_down,108
158.16539,168.4576,pullup_down,108
150.9844,168.57135,pullup_down,108
158.0789,164.96504,pullup_down,108
156.1967,160.24202,pullup_down,108
159.89941,161.08965,pullup_down,108
156.4878,161.20467,pullup_down,108
156.01582,160.62297,pullup_down,108
153.91446,160.01024,pullup_down,108
155.09679,158.36293,pullup_down,108
153.8985,156.44432,pullup_down,108
161.226,157.38916,pullup_down,108
156.12413,153.98466,pullup_down,108
154.52708,153.93927,pullup_down,108
156.03447,155.23946,pullup_down,108
153.42427,155.98256,pullup_down,108
156.0178,153.4776,pullup_down,108
