left_elbow_angle,right_elbow_angle,torso_angle,label,source
166.2748157863559,137.05548713963458,13.736202447054726,latpulldown_down,lat_pulldown
131.98815890589316,170.78692239580397,15.397162173356014,latpulldown_down,lat_pulldown
148.30452293502398,147.6287170623313,20.440988761087297,latpulldown_down,lat_pulldown
149.4999365257451,149.3047036844538,20.276365269353768,latpulldown_down,lat_pulldown
150.406263622499,151.06760331852365,20.198337597635504,latpulldown_down,lat_pulldown
150.76528296736026,153.24015858780757,19.9846028123263,latpulldown_down,lat_pulldown
150.9947273378724,153.86673736775455,19.860062614929102,latpulldown_down,lat_pulldown
150.56309749902593,154.1027621201008,19.866567615130503,latpulldown_down,lat_pulldown
150.09773365737308,153.65278170011436,19.990847810380156,latpulldown_down,lat_pulldown
149.19106823087674,153.21870251586725,20.010229102744454,latpulldown_down,lat_pulldown
148.59585082078254,152.82947809406443,19.954364061857472,latpulldown_down,lat_pulldown
146.62941347858236,152.0228360845337,19.92542907297281,latpulldown_down,lat_pulldown
154.5219216848979,140.4713815265815,11.339448423253302,latpulldown_down,lat_pulldown
156.25661434131166,143.5472391978082,11.222513146262212,latpulldown_down,lat_pulldown
157.4962078793889,145.18724425627863,11.209320390138,latpulldown_down,lat_pulldown
158.0009210922168,148.56017487063198,11.015943046809976,latpulldown_down,lat_pulldown
158.14155776632836,149.60572255121377,10.917165257138324,latpulldown_down,lat_pulldown
158.2617486950788,150.0856881546018,10.912340631542303,latpulldown_down,lat_pulldown
159.73669435399503,154.2708411765684,10.759062797717762,latpulldown_down,lat_pulldown
160.36864259757508,154.62270237663478,10.381827510441154,latpulldown_down,lat_pulldown
163.5344632651596,154.86336623910856,10.231655791817229,latpulldown_down,lat_pulldown
164.53539095326906,158.14963852387822,9.49147965896121,latpulldown_down,lat_pulldown
166.0598376539971,158.47386183352978,9.20676364023832,latpulldown_down,lat_pulldown
165.47925962066486,156.7241850593827,9.251421437004431,latpulldown_down,lat_pulldown
165.78604368546473,154.95149159000502,9.28880017017614,latpulldown_down,lat_pulldown
165.32274750226264,153.60411016436146,9.170364145054087,latpulldown_down,lat_pulldown
164.55057954676806,152.8437335041889,9.086803185651789,latpulldown_down,lat_pulldown
164.2760167411908,152.99749567029934,9.024499044439896,latpulldown_down,lat_pulldown
163.560634412292,152.70409092231955,8.995156280653227,latpulldown_down,lat_pulldown
163.96235015947167,152.40573587239646,8.928103575531958,latpulldown_down,lat_pulldown
164.01056380294762,152.05928603817526,8.699301629426138,latpulldown_down,lat_pulldown
156.48358279688682,151.19728956551376,8.54643759786977,latpulldown_down,lat_pulldown
158.751277495183,151.2737292184258,8.454058717596034,latpulldown_down,lat_pulldown
156.94009988602954,151.44962175354462,8.490853997316057,latpulldown_down,lat_pulldown
156.52311458763936,151.33663965617473,8.39653260578664,latpulldown_down,lat_pulldown
155.12224814967036,151.08894424998002,8.37677763521506,latpulldown_down,lat_pulldown
154.46419376921315,148.608936960122,9.12243436953814,latpulldown_down,lat_pulldown
152.1865269632424,144.54735148354445,9.676494658147416,latpulldown_down,lat_pulldown
97.50058315318743,70.24530491960655,12.91016736657162,latpulldown_up,lat_pulldown
95.86340627797364,68.28640191555644,13.125730180561265,latpulldown_up,lat_pulldown
97.562066895284,66.82667662898389,13.11428158448767,latpulldown_up,lat_pulldown
148.4392263795601,147.79135495024718,11.843796285602416,latpulldown_down,lat_pulldown
149.70497947833505,151.3594158523766,12.024846726387327,latpulldown_down,lat_pulldown
153.1602567643436,154.93342407982212,12.01313753498552,latpulldown_down,lat_pulldown
154.20508585659147,155.89838589807405,11.887469821076948,latpulldown_down,lat_pulldown
155.55961430548555,156.59168507420043,11.697830856173477,latpulldown_down,lat_pulldown
156.84621302140027,156.86672878031183,11.580023401721956,latpulldown_down,lat_pulldown
158.90304500870778,156.62364268361873,11.51841692372287,latpulldown_down,lat_pulldown
