left_elbow_angle,right_elbow_angle,label,source
168.71745,176.84613,pushup_up,210
171.15703,175.77394,pushup_up,210
171.52582,175.57668,pushup_up,210
171.73627,177.05734,pushup_up,210
172.72302,176.41531,pushup_up,210
170.52756,177.57867,pushup_up,210
168.84373,177.03534,pushup_up,210
168.10503,174.3479,pushup_up,210
168.02245,171.7958,pushup_up,210
170.65213,170.47838,pushup_up,210
168.76704,169.6756,pushup_up,210
168.35814,168.73262,pushup_up,210
174.71101,168.833,pushup_up,210
173.244,171.70119,pushup_up,210
172.73665,168.10718,pushup_up,210
174.96797,168.17624,pushup_up,210
175.40904,168.52672,pushup_up,210
174.60333,168.51799,pushup_up,210
171.78003,168.49535,pushup_up,210
156.91742,167.7943,pushup_up,211
142.17484,170.25615,pushup_up,211
145.51878,172.51456,pushup_up,211
149.36334,163.54565,pushup_up,211
171.72243,155.235,pushup_up,211
107.42365,101.66568,pushup_down,211
97.34115,80.74759,pushup_down,211
98.109695,81.01633,pushup_down,211
76.95241,56.07155,pushup_down,211
74.775276,55.8631,pushup_down,211
92.88429,71.72555,pushup_down,211
82.55686,63.13653,pushup_down,211
83.01193,63.57062,pushup_down,211
86.48043,66.22721,pushup_down,211
83.07791,62.042374,pushup_down,211
82.88588,66.79799,pushup_down,211
83.235054,66.57869,pushup_down,211
86.386246,63.69969,pushup_down,211
84.28781,63.891647,pushup_down,211
86.18669,66.94141,pushup_down,211
91.33872,72.20102,pushup_down,211
86.380264,67.79506,pushup_down,211
90.08694,70.10917,pushup_down,211
89.400055,68.69099,pushup_down,211
101.155975,90.51446,pushup_down,211
101.18452,99.3768,pushup_down,211
102.32383,99.62206,pushup_down,211
107.037895,99.20707,pushup_down,211
89.21279,110.848595,pushup_down,211
89.62915,114.29135,pushup_down,211
95.35722,100.81749,pushup_down,211
107.06767,95.72902,pushup_down,211
176.51569,170.25903,pushup_up,211
175.18703,175.12717,pushup_up,211
106.67931,101.223175,pushup_down,211
104.94243,101.618546,pushup_down,211
105.32654,95.920425,pushup_down,211
106.537056,94.40306,pushup_down,211
104.315575,88.48561,pushup_down,211
99.784615,87.27451,pushup_down,211
99.02297,88.63749,pushup_down,211
93.871506,81.35015,pushup_down,211
98.99309,84.98886,pushup_down,211
98.6535,85.726616,pushup_down,211
81.46631,86.066315,pushup_down,211
87.24981,83.60837,pushup_down,211
85.9142,85.22443,pushup_down,211
82.80495,84.756226,pushup_down,211
94.50373,83.7334,pushup_down,211
98.37807,85.56059,pushup_down,211
105.36423,93.426636,pushup_down,211
107.376495,98.70195,pushup_down,211
107.374626,97.726036,pushup_down,211
100.594376,97.698555,pushup_down,211
144.41476,171.0254,pushup_up,211
155.62679,174.27809,pushup_up,211
148.68692,175.70627,pushup_up,211
165.07854,171.31705,pushup_up,211
140.38667,172.08522,pushup_up,211
165.86198,169.64458,pushup_up,211
166.61177,168.73901,pushup_up,211
104.4882,100.4383,pushup_down,211
103.33906,100.65123,pushup_down,211
103.38912,97.546585,pushup_down,211
97.53632,94.64926,pushup_down,211
91.73419,94.51197,pushup_down,211
86.26422,89.29796,pushup_down,211
93.3514,99.10277,pushup_down,211
106.33345,102.90125,pushup_down,211
106.156906,94.68081,pushup_down,211
106.98245,92.23374,pushup_down,211
104.67785,92.34158,pushup_down,211
99.95947,89.11162,pushup_down,211
104.09099,92.94178,pushup_down,211
84.851654,112.5751,pushup_down,211
96.10213,113.732864,pushup_down,211
95.29467,84.56738,pushup_down,211
94.13755,86.08025,pushup_down,211
106.640205,95.971596,pushup_down,211
106.136024,96.10081,pushup_down,211
93.554436,90.36877,pushup_down,211
96.415276,90.78286,pushup_down,211
96.48142,95.57238,pushup_down,211
98.20145,95.069374,pushup_down,211
93.627174,87.68265,pushup_down,211
101.062874,99.50054,pushup_down,211
102.9545,98.51219,pushup_down,211
108.5052,100.1611,pushup_down,211
108.90213,96.186905,pushup_down,211
99.9054,84.10252,pushup_down,211
100.99975,83.23697,pushup_down,211
89.05579,67.1641,pushup_down,211
89.212944,63.94009,pushup_down,211
88.74203,69.30394,pushup_down,211
85.24452,65.72471,pushup_down,211
82.78072,62.48215,pushup_down,211
90.161415,66.79947,pushup_down,211
94.00666,77.332726,pushup_down,211
94.873375,79.21414,pushup_down,211
94.8857,79.98741,pushup_down,211
93.26212,73.44807,pushup_down,211
70.679855,115.57908,pushup_down,212
72.785355,116.08213,pushup_down,212
90.24344,118.84295,pushup_down,212
