left_torso_angle,right_torso_angle,label,source
176.26411276850237,177.55854640007624,situp_down,307
176.4860324014731,177.77424551739549,situp_down,307
178.56584404203727,176.78206252651188,situp_down,307
171.4842410268623,171.94732192126995,situp_down,307
165.3061936354919,162.5769424237191,situp_down,307
164.8733610661984,161.34201979896395,situp_down,307
157.9906655303029,160.38803689061632,situp_down,307
147.22347825795205,153.96541868928887,situp_down,307
58.43248528874971,63.336279918638105,situp_up,307
35.73071093756158,33.7671265706747,situp_up,307
33.29499516582324,39.191391556914894,situp_up,307
18.59611740384129,6.573325656284193,situp_up,307
31.2221338395968,32.06172053797169,situp_up,307
32.59158910274425,32.33071515942282,situp_up,307
31.61755363157957,37.586574487920615,situp_up,307
26.5699602261557,29.26046230921011,situp_up,307
28.47465265197283,28.52362693375284,situp_up,307
30.586188887703624,33.722787441778415,situp_up,307
22.703319475202164,26.116427838050992,situp_up,307
26.05906154452405,27.53326935996813,situp_up,307
24.092364893677352,27.64223240673593,situp_up,307
31.60447750878038,35.08318101279873,situp_up,307
30.909261741156744,29.68010894894964,situp_up,307
31.93418945481727,30.578508359814595,situp_up,307
40.13263568791549,43.17199622936038,situp_up,307
44.41552593251989,46.12388805209607,situp_up,307
53.43604919112091,57.63215078335859,situp_up,307
61.32953645070545,65.65958330459006,situp_up,307
151.54693659446224,155.46311523272385,situp_down,307
156.88043674550696,156.8359992025812,situp_down,307
163.53613329482337,161.0688041225588,situp_down,307
170.59202849970373,162.52005182742494,situp_down,307
173.2678886667407,165.20694748209152,situp_down,307
175.0473840481872,168.91203837245092,situp_down,307
177.69452064644906,169.11844595695894,situp_down,307
176.9187190627938,169.13668657713103,situp_down,307
177.96802663736415,168.76705245788216,situp_down,307
179.29093479481932,167.91256365917113,situp_down,307
179.75552681018928,169.97387226990506,situp_down,307
174.9064274042744,170.47156425971897,situp_down,307
174.58556535768437,171.07853558070883,situp_down,307
172.4074925413213,167.88685977989763,situp_down,307
162.79212886383763,154.94978035892342,situp_down,307
161.97326704378474,151.57222665432636,situp_down,307
63.767468853222304,67.98266255926552,situp_up,307
58.2419069777981,66.84073923502345,situp_up,307
51.01130080876279,56.92921555066449,situp_up,307
13.311710029899585,15.742064663463063,situp_up,307
35.545972355373365,38.77223254703303,situp_up,307
33.32196850298523,37.49434115281483,situp_up,307
30.897248779977694,33.61288840501324,situp_up,307
31.250613814243582,34.101636805886585,situp_up,307
29.82262196399879,35.12357152442673,situp_up,307
22.12267423458498,32.894410903707815,situp_up,307
22.74504676293843,34.10552969919223,situp_up,307
27.636472729485003,34.210328994593425,situp_up,307
22.732329262912888,27.953378458971027,situp_up,307
23.953835715426276,26.572435994705742,situp_up,307
27.74313952433552,29.01880863048947,situp_up,307
26.96492970721013,32.18793435404811,situp_up,307
24.59009279579059,28.624892313966896,situp_up,307
24.472716184983422,32.07758435296047,situp_up,307
25.629935820556103,33.51442107568104,situp_up,307
30.42857757210629,34.00041990241132,situp_up,307
29.895416464471896,34.63554548817713,situp_up,307
35.792164564171124,40.92778273745373,situp_up,307
39.80979263457393,45.50170343273614,situp_up,307
45.24075547739762,51.72873779298295,situp_up,307
51.56717441836073,58.79920751352205,situp_up,307
55.977998266359016,60.92513263365583,situp_up,307
152.93261230467408,154.51391518583924,situp_down,307
160.18081415860593,154.7223481447977,situp_down,307
162.8880732193853,155.08649482093475,situp_down,307
169.29709143610012,167.15202819528977,situp_down,307
171.02878523305353,168.1286387096158,situp_down,307
173.94861475697206,169.3720012980862,situp_down,307
174.27659994676105,167.99804790480675,situp_down,307
178.53308574048845,172.13749481443853,situp_down,307
178.3904421494827,173.70785901082354,situp_down,307
179.39018360212927,173.86451164709675,situp_down,307
176.50181033183804,168.85273661378267,situp_down,307
177.94332853164096,171.91499047747268,situp_down,307
175.6365596690586,170.50433337074017,situp_down,307
167.48787381800406,165.7073497527971,situp_down,307
162.44337206028484,162.20318879695677,situp_down,307
161.26700956344905,162.17298719341122,situp_down,307
156.67405751669992,154.55877641608282,situp_down,307
61.125881787018734,69.8674407794431,situp_up,307
51.28172182375083,57.404373543880354,situp_up,307
38.39918274415074,43.80244823133392,situp_up,307
38.88697281265345,45.92417624402779,situp_up,307
36.29727401548709,37.62566087853615,situp_up,307
31.33140476736704,33.28234403981689,situp_up,307
27.50910837994035,31.71306004736868,situp_up,307
27.917947980649068,31.06420908555067,situp_up,307
17.98706075061563,38.11445221525819,situp_up,307
24.54540843737531,94.1446029464674,situp_up,307
19.28071778784065,54.51798177867256,situp_up,307
24.05241854301641,28.771776072316555,situp_up,307
24.50004992570771,53.8209568902189,situp_up,307
25.547874156487744,28.257691394893143,situp_up,307
25.59824565633712,27.45394892825726,situp_up,307
29.593391102782185,29.237675764827124,situp_up,307
33.56085913632771,34.580271695576855,situp_up,307
44.471836282207725,39.1573901704576,situp_up,307
38.94687613950249,44.89350215134763,situp_up,307
44.97705762587508,54.21070674444508,situp_up,307
54.68188086442159,61.349272438075424,situp_up,307
152.98453861989796,149.285625635794,situp_down,307
158.7179569110167,148.20496562152422,situp_down,307
157.52482294281458,152.11006816258944,situp_down,307
163.664864600737,160.35464610882025,situp_down,307
165.97067423242953,160.81721088668053,situp_down,307
169.89650314829674,164.79238269228023,situp_down,307
173.96616128595633,171.0197844551504,situp_down,307
176.58217509276068,168.35803417080436,situp_down,307
177.1967737676554,169.8062879382499,situp_down,307
176.43267565457015,169.9431416921913,situp_down,307
178.95393451492123,170.48500871500127,situp_down,307
174.97255073398225,172.23508636644146,situp_down,307
165.68438773501134,165.7322618527908,situp_down,307
157.6386950451273,156.50513344418357,situp_down,307
66.38787219459749,68.9255612050158,situp_up,307
58.580026821325305,62.50276871411254,situp_up,307
51.33285246800943,53.76021164155749,situp_up,307
43.59570832415142,46.48042060425138,situp_up,307
38.589171470059554,42.742053657346695,situp_up,307
39.03066969045199,38.27106525986158,situp_up,307
34.95519084813408,39.56874107395571,situp_up,307
25.270936233950245,31.11519869275703,situp_up,307
29.239190884053016,35.727383159874385,situp_up,307
21.873211139097855,42.013054205770665,situp_up,307
27.76409799399767,34.460977170647915,situp_up,307
31.6217274153008,59.04298204053765,situp_up,307
26.19915930404845,30.726000432548627,situp_up,307
21.53125494778259,24.781673574401484,situp_up,307
18.7289513996073,21.086054551978656,situp_up,307
24.524184633502216,28.67316084092143,situp_up,307
26.608413889354622,27.378433670179856,situp_up,307
26.01237467436312,28.181355791978596,situp_up,307
