left_arm_angle,right_arm_angle,leg_spread_angle,label,source
7.667874,16.926802,18.982162,jack_in,0
8.954973,14.199318,18.966124,jack_in,0
10.315741,18.0658,17.527954,jack_in,0
17.33614,23.270214,17.195545,jack_in,0
13.822096,22.83168,17.355429,jack_in,0
28.414686,28.888157,17.777615,jack_in,0
33.044586,29.119131,17.772346,jack_in,0
14.402455,18.283562,15.396538,jack_in,0
7.7040305,15.230776,17.724667,jack_in,0
8.483968,16.221207,17.200558,jack_in,0
10.792021,18.785604,17.805164,jack_in,0
25.23433,18.829723,16.43984,jack_in,0
28.72592,23.638325,17.950497,jack_in,0
29.572044,30.760637,22.252613,jack_in,0
25.394022,23.930782,21.570534,jack_in,0
11.567286,18.28244,17.274006,jack_in,0
9.059222,17.505964,16.09823,jack_in,0
6.4724474,16.645588,16.628828,jack_in,0
9.06113,19.470318,16.878643,jack_in,0
11.910704,21.867043,17.433409,jack_in,0
35.467762,23.27877,16.316462,jack_in,0
27.28351,27.121607,18.662676,jack_in,0
27.456696,25.406378,19.84936,jack_in,0
20.706718,24.5991,16.377277,jack_in,0
12.574775,18.121134,14.818809,jack_in,0
11.266434,20.072346,17.127724,jack_in,0
9.757697,19.378645,15.930172,jack_in,0
19.028744,21.477919,15.943046,jack_in,0
33.661556,26.593153,17.15817,jack_in,0
28.035742,26.999613,18.169537,jack_in,0
34.830322,30.950373,24.800014,jack_in,0
28.66288,25.65493,20.779661,jack_in,0
18.512348,23.231007,17.477036,jack_in,0
5.084305,16.331358,16.299946,jack_in,0
6.749041,17.765406,16.043703,jack_in,0
6.096768,16.67977,16.602352,jack_in,0
12.739423,21.076954,16.508917,jack_in,0
28.964813,22.124712,17.050043,jack_in,0
30.982866,30.67322,20.778805,jack_in,0
29.363535,28.944073,21.065954,jack_in,0
24.102768,22.47392,17.88677,jack_in,0
16.268232,19.597813,16.403517,jack_in,0
18.470366,21.782099,16.811905,jack_in,0
19.210188,24.606493,18.250397,jack_in,0
22.319199,25.93965,17.665106,jack_in,0
26.434393,20.757019,19.924025,jack_in,0
11.68061,19.670492,17.900387,jack_in,0
16.277689,17.341274,16.267597,jack_in,0
15.352717,19.091347,16.762966,jack_in,0
8.390657,14.671468,15.75149,jack_in,0
11.715139,18.982729,17.071123,jack_in,0
34.1567,24.311121,17.216337,jack_in,0
